Attribute,Edition,Series unindented,GLOBAL ID,Dataset,Entity code,Value,Entity
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,USA,5.590158942,United States
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,GBR,5.189005941,United Kingdom
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,CHE,5.596882551,Switzerland
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,SWE,5.506823584,Sweden
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,ESP,4.585913399,Spain
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,SVN,4.552880028,Slovenia
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,SVK,4.309482086,Slovak Republic
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,PRT,4.404044097,Portugal
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,POL,4.329399466,Poland
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,NOR,5.166980178,Norway
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,NZL,4.979462686,New Zealand
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,NLD,5.323174301,Netherlands
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,LUX,4.963358146,Luxembourg
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,KOR,5.003964444,"Korea, Rep."
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,JPN,5.369901533,Japan
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,ITA,4.308563651,Italy
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,ISR,4.796132179,Israel
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,IRL,4.835067667,Ireland
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,ISL,4.802901469,Iceland
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,GRC,4.04004676,Greece
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,DEU,5.370994203,Germany
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,FRA,5.132552756,France
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,FIN,5.431779054,Finland
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,EST,4.560167625,Estonia
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,DNK,5.462374503,Denmark
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,CZE,4.665120961,Czech Republic
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,CHL,4.695982917,Chile
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,CAN,5.330384017,Canada
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,BEL,5.091830247,Belgium
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,AUT,5.131420388,Austria
Score,2009-2010,"Global Competitiveness Index, 1-7 (best)",GCI,Global Competitiveness Index,AUS,5.153625588,Australia
