Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AUS: Australia,33806.95186,34480.80432,35004.9577,35750.67739,36393.25591,36231.20304,36273.62067,36592.99456,37358.69917,37720.77977,..
AUT: Austria,32441.22527,33072.75038,33636.81577,34691.24973,35858.74331,36258.58219,34789.44696,35321.99419,36204.22581,36355.65908,36316.68821
BEL: Belgium,30944.27825,31822.5062,32203.54058,32845.88133,33541.56706,33603.10542,32410.78161,32880.33984,33172.45635,32899.50803,32829.76415
CAN: Canada,34527.72316,35275.87601,36048.00407,36617.37664,36954.09273,36950.64738,35512.5279,36280.91638,36812.60407,37016.10175,..
CHL: Chile,11411.95409,12080.66677,12689.73368,13277.33369,13823.42393,14137.66511,13854.44174,14511.08475,15205.34,15882.88214,..
CZE: Czech Republic,19081.15979,19975.77807,21268.02099,22688.94497,23859.9403,24346.98413,23112.6801,23625.40742,24102.21361,23827.46746,23597.40756
DNK: Denmark,31846.5582,32499.52552,33195.88344,34209.15683,34604.39138,34133.09664,32024.07644,32327.70094,32539.07932,32300.55112,..
EST: Estonia,14190.91896,15145.75605,16530.73111,18237.79249,19637.79394,18843.61522,16193.0166,16612.08401,18198.4965,18922.37792,19079.55595
FIN: Finland,28837.7683,29939.99038,30707.92247,31939.34196,33500.8831,33443.04159,30441.37598,31321.39665,32057.35087,31583.5506,31006.97488
FRA: France,28724.19179,29241.4861,29554.47041,30075.69772,30575.91349,30383.6108,29278.79828,29635.74352,30081.34694,29939.00206,29862.61145
DEU: Germany,30529.52256,30891.1234,31116.57636,32306.28239,33404.16184,33824.79463,32180.3491,33519.88421,34627.89566,34807.62551,34880.91118
GRC: Greece,22975.75799,23896.43305,24372.63887,25634.0914,26457.09501,26344.8341,25517.06919,24328.72404,22661.34688,21139.1723,..
HUN: Hungary,15514.53232,16294.83758,16974.55981,17662.98662,17709.89702,17899.38595,16713.93591,16928.31689,17243.0258,17043.80847,17279.83024
ISL: Iceland,30950.84938,32997.94637,34991.7806,35619.80879,36895.50282,36403.40665,34026.31504,32758.89262,33522.50755,33832.37279,34607.3963
IRL: Ireland,36496.90347,37371.99522,38761.34598,39843.20732,40584.4545,38861.11659,36034.55694,35490.16092,36122.14346,36076.26936,..
ISR: Israel,22741.58621,23429.51318,24143.78749,25087.35927,26342.27051,27021.74026,26844.37273,27849.90384,28592.52945,29019.83415,..
ITA: Italy,28021.52049,28226.87951,28279.89128,28737.72371,29007.9041,28453.55211,26729.15005,27059.08882,27073.20452,26353.2984,25803.96345
JPN: Japan,29388.81515,30059.05478,30445.63715,30940.95089,31584.15109,31239.293,29515.2402,30886.12697,30797.28868,31311.2496,..
KOR: Korea,21070.38999,21960.99663,22783.21746,23847.26306,24948.40594,25338.803,25299.17907,26773.81452,27553.89082,27990.60358,..
LUX: Luxembourg,63932.29095,65824.22291,68210.82927,70487.92473,73912.58809,72094.82286,66859.0584,67669.4459,67378.62867,65728.99908,65446.48574
MEX: Mexico,11756.28004,12108.75868,12341.51453,12805.32694,13052.36721,13052.71933,12262.32911,12741.4602,13067.50657,13422.87824,13411.96385
NLD: Netherlands,33849.35559,34493.88264,35111.4161,36249.55166,37584.98932,38118.63399,36530.18944,36895.73051,37064.68262,36473.30676,36069.82449
NZL: New Zealand,24257.97054,24801.61181,25382.34322,25778.5699,26254.96161,25508.87598,25182.32394,25352.75473,25763.80677,26185.76769,..
NOR: Norway,45225.77394,46750.9104,47639.58262,48326.93462,49134.68607,48518.36339,47151.69064,46776.3141,46791.15361,47513.23705,47237.72189
POL: Poland,12615.10887,13297.13942,13784.16006,14651.8488,15654.51566,16454.80815,16711.41251,17195.81436,17963.57398,18311.00875,18605.40145
PRT: Portugal,21095.49164,21300.42179,21368.95879,21606.92228,22067.98214,22036.86139,21375.68865,21779.64611,21538.95403,20927.80784,20833.49774
SVK: Slovak Republic,14455.99679,15178.59262,16174.53405,17511.94141,19329.38391,20405.77946,19356.02517,20167.12682,20891.36129,21235.67415,21408.69634
SVN: Slovenia,21664.83838,22607.29252,23471.59812,24757.54251,26336.21686,27185.40453,24784.75771,25008.94219,25136.9176,24450.87724,24148.30307
ESP: Spain,26459.29991,26881.89728,27392.00742,28075.13041,28530.48666,28330.4542,27045.37234,26906.95657,26889.92927,26426.82854,26243.16732
SWE: Sweden,30656.0249,31826.36284,32701.43274,33915.12462,34782.5281,34299.21202,32297.99537,34123.98846,34860.79067,34925.6379,35160.36156
CHE: Switzerland,35294.89547,35911.50688,36647.5301,37738.86563,38876.46246,39241.9092,38037.8953,39235.83094,39515.89186,39626.28382,..
TUR: Turkey,9854.398991,10641.78331,11394.035,12033.98422,12448.70133,12375.61538,11622.26487,12520.89721,13444.91554,13557.06474,..
GBR: United Kingdom,31640.18448,32485.97896,33318.02588,34038.71832,34973.2456,34471.25641,32480.51962,32770.35971,32886.69182,32475.88799,32818.92479
USA: United States,42002.91683,43206.32008,44242.26249,44992.59063,45361.03595,44806.49106,43168.52847,43888.63034,44375.57982,45283.39463,..
