Country,Capital,CapitalLatitude,Union,GCI,Irreligion,GDP2010,GDP2011,GDP2012
Switzerland,Bern,46.95,17.13153796,5.596882551,57,39236,39516,39626
United States,"Washington, D.C.",38.8951,11.38345975,5.590158942,36,43889,44376,45283
Sweden,Stockholm,59.3294,68.2198446,5.506823584,88,34124,34861,34926
Denmark,Copenhagen,55.6761,68.50783182,5.462374503,83,32328,32539,32301
Finland,Helsinki,60.1708,69.95859242,5.431779054,69,31321,32057,31584
Germany,Berlin,52.5167,18.5644806,5.370994203,62,33520,34628,34808
Korea,Seoul,37.5665,9.681506143,5.369901533,52,26774,27554,27991
Canada,Ottawa,45.4214,27.40894928,5.330384017,61,36281,36813,37016
Netherlands,Amsterdam,52.3667,18.62865016,5.323174301,65,36896,37065,36473
United Kingdom,London,51.5072,26.36253532,5.189005941,76,32770,32887,32476
Norway,Oslo,59.95,54.81205913,5.166980178,78,46776,46791,47513
Australia,Canberra,-35.3075,18.08219281,5.153625588,67,36593,37359,37721
France,Paris,48.8567,7.840700696,5.132552756,74,29636,30081,29939
Austria,Vienna,48.2,28.37167865,5.131420388,51,35322,36204,36356
Belgium,Brussels,50.85,50.59441002,5.091830247,68,32880,33172,32900
New Zealand,Wellington,-41.2889,20.77991242,4.979462686,67,25353,25764,26186
Mexico,Mexico City,19.4333,14.35817882,4.963358146,44,12741,13068,13423
Ireland,Dublin,53.3478,32.69144648,4.835067667,53,35490,36122,36076
Italy,Rome,41.9,35.4578113,4.796132179,30,27059,27073,26353
Chile,Santiago,-33.45,14.96501368,4.695982917,27,14511,15205,15883
Spain,Madrid,40.4,15.55888246,4.585913399,55,26907,26890,26427
Estonia,Tallinn,59.4372,8.066064913,4.560167625,78,16612,18198,18922
Slovenia,Ljubljana,46.0556,26.27298887,4.552880028,51,25009,25137,24451
Portugal,Lisbon,38.7138,19.34075141,4.404044097,33,21780,21539,20928
Poland,Warsaw,52.2333,14.58388152,4.329399466,24,17196,17964,18311
Slovak Republic,Bratislava,48.1439,16.94828206,4.309482086,45,20167,20891,21236
Japan,Tokyo,35.6895,18.28110795,4.308563651,71,30886,30797,31311
Greece,Athens,37.9667,25.20582188,4.04004676,24,24329,22661,21139
